_10_14_mcg_dl,_15_19_mcg_dl,_2000_population_of_children_6_and_under,_20_24_mcg_dl,_25_44_mcg_dl,_45_mcg_dl,county,total_tested,lrate1,lrate2,lrate3,lrate4,lrate5,lscore,Year
12,3,7843,0,1,0,DeKalb,774,15.50387597,3.875968992,0,1.291989664,0,25.19379845,2004
6,2,1497,1,1,0,DeWitt,294,20.40816327,6.802721088,3.401360544,3.401360544,0,47.61904762,2004
5,1,1906,1,1,0,Douglas,244,20.49180328,4.098360656,4.098360656,4.098360656,0,47.13114754,2004
198,64,93555,16,16,3,DuPage,7900,25.06329114,8.101265823,2.025316456,2.025316456,0.379746835,49.24050633,2004
5,4,1641,0,0,0,Edgar,179,27.93296089,22.34636872,0,0,0,61.45251397,2004
3,0,563,0,0,0,Edwards,113,26.54867257,0,0,0,0,26.54867257,2004
7,4,3481,0,0,0,Effingham,343,20.40816327,11.66180758,0,0,0,37.90087464,2004
8,0,1860,1,0,0,Fayette,387,20.67183463,0,2.583979328,0,0,25.83979328,2004
1,0,1287,0,0,0,Ford,106,9.433962264,0,0,0,0,9.433962264,2004
11,0,3176,0,0,1,Franklin,250,44,0,0,0,4,64,2004
22,4,3022,1,1,0,Fulton,368,59.7826087,10.86956522,2.717391304,2.717391304,0,89.67391304,2004
2,0,504,0,0,0,Gallatin,98,20.40816327,0,0,0,0,20.40816327,2004
8,2,1303,0,2,0,Greene,286,27.97202797,6.993006993,0,6.993006993,0,59.44055944,2004
1,0,3519,0,0,0,Grundy,287,3.484320557,0,0,0,0,3.484320557,2004
4,0,740,0,1,0,Hamilton,103,38.83495146,0,0,9.708737864,0,67.96116505,2004
9,6,1664,4,1,0,Hancock,363,24.79338843,16.52892562,11.01928375,2.754820937,0,79.88980716,2004
0,1,350,0,1,0,Hardin,81,0,12.34567901,0,12.34567901,0,55.55555556,2004
2,0,667,0,0,0,Henderson,123,16.2601626,0,0,0,0,16.2601626,2004
